none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
wispBlackRed,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,wispBlackRed,none,wispBlackRed,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,none
none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,none,none,skeletonGray,none,none
none,none,none,skeletonBlueRed,none,none,none,wispWhiteblue,none,none,wispBlackGreen,none,none,none,none,none
none,wispWhiteblue,none,none,none,none,wispBlackRed,none,none,none,none,none,none,skeletonGray,none,none
wispBlackRed,none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,none,none,none,none
none,none,none,none,none,skeletonBlueRed,none,none,none,wispBlackRed,none,wispBlackPurple,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,wispWhiteRed,none,none,none,none,none,none,none,none,none,none,none,none,none
