none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,jump
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,jump
none,none,none,none,none,none,none,none,none,none,none,none,none,none,spikes,jump
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,jump
none,none,spikes,none,none,none,none,none,none,none,none,none,none,none,spikes,jump
none,none,none,none,none,none,none,spikes,none,none,none,none,none,none,none,jump
none,none,none,none,spikes,none,none,none,none,none,spikes,none,spikes,none,none,jump
none,spikes,none,none,none,none,none,none,none,none,none,none,none,none,spikes,jump
none,none,none,none,spikes,none,none,none,none,none,none,none,none,none,none,jump
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
