none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,bones,bones,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,healthPotion,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,bones,none,none,none,none,none,none,none,none,none,none,none,none,comfortSheep,none
none,bones,none,none,none,none,none,healthPotion,none,none,none,none,none,none,none,none
none,none,bones,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
