none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,comfortSheep,bones,healthPotion,none,none,none,none,none,none,none,none,none,none,none,none
none,bones,sword2,bones,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,bones,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,bones,none,none,none,none,none,none,none,none
none,bones,none,none,none,none,bones,none,none,none,none,none,none,none,comfortSheep,none
none,bones,none,none,none,none,none,healthPotion,none,none,none,none,none,none,none,none
none,none,bones,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
