none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
wispBlackRed,player,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,wispBlackRed,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,skeletonBlueRed,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,skeletonGray,none,none
none,none,skeletonBlueRed,none,skeletonBlueRed,none,none,none,none,none,none,none,none,none,none,none
none,none,skeletonBlueRed,none,none,none,wispBlackRed,none,none,none,none,none,none,skeletonGray,none,none
wispBlackRed,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,skeletonBlueRed,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,wispWhiteRed,none,none,none,none,none,none,none,none,none,none,none,none,none
