none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,spikes,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,bearTrap,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,slowMovement,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,bearTrap,none,none,none,none,telporter,none,none,none
none,none,none,none,none,none,none,none,cursedBearTrap,none,none,none,none,none,none,none
none,none,telporter,none,none,none,slowMovement,none,slowMovement,none,none,none,bearTrap,none,none,none
none,none,none,none,none,slowMovement,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
