none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
wispBlackRed,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,wispBlackRed,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,none
none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,none,none,skeletonGray,none,none
none,none,none,none,skeletonBlueRed,none,none,none,none,none,wispBlackGreen,none,none,none,none,none
none,none,skeletonBlueRed,none,none,none,wispBlackRed,none,none,none,none,none,none,skeletonGray,none,none
wispBlackRed,none,none,none,none,none,none,none,skeletonBlueRed,none,none,none,none,none,none,none
none,none,none,skeletonBlueRed,none,none,none,none,none,wispBlackRed,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,wispWhiteRed,none,none,none,none,none,none,none,none,none,none,none,none,none
