none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,healthPotion,bones,none,none,none,none,none,none,none,none,none,healthPotion,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,bones,bones,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,bones,none,none,bones,bones,none,none,none,none,none,none
none,none,bones,none,bones,none,bones,none,bones,bones,none,none,none,none,none,none
none,none,none,none,none,none,none,healthPotion,none,none,none,bones,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
