none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,enabled,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
permanent,none,none,none,none,none,none,hidden,enabled,none,none,none,none,none,none,none
none,permanent,none,none,none,none,enabled,enabled,enabled,none,enabled,none,none,none,none,none
none,none,none,none,none,none,none,none,none,enabled,none,none,none,none,none,none
permanent,enabled,hidden,permanent,none,none,none,none,none,hidden,none,none,none,none,none,none
none,none,enabled,hidden,none,enabled,none,none,enabled,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
