none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,bones,none,comfortSheep,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,bones,none,none,none,none,none,none,none,none,bones,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,bones,none,bones,none,none
none,none,none,none,none,bones,bones,none,none,bones,comfortSheep,none,none,bones,none,none
none,none,none,none,none,bones,none,none,none,bones,healthPotion,bones,none,bones,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
