none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,spikes,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,bearTrap,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,slowMovement,none,none,none
none,none,none,none,none,none,none,cursedBearTrap,bearTrap,none,none,none,none,none,none,jump
none,none,none,none,none,none,slowMovement,bearTrap,none,none,spikes,none,telporter,none,none,none
none,none,none,none,none,none,none,none,cursedBearTrap,none,none,none,none,none,none,none
none,none,telporter,none,none,none,none,none,slowMovement,none,none,none,bearTrap,none,none,jump
none,none,none,none,none,slowMovement,none,none,none,none,none,none,none,none,none,none
none,none,jump,none,none,none,none,none,none,none,jump,none,none,none,none,none
