none,none,none,none,none,none,none,jump,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,spikes,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
jump,none,none,none,none,none,none,none,spikes,none,none,none,none,none,none,none
none,telporter,none,none,none,none,none,none,cursedBearTrap,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,bearTrap,none,none,none,none,none,none
jump,cursedBearTrap,spikes,slowMovement,none,none,none,none,none,bearTrap,none,none,none,none,none,none
none,none,bearTrap,bearTrap,none,slowMovement,none,none,spikes,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
